source_cbsa_code,source_metro,source_cluster,neighbor_rank,neighbor_cbsa_code,neighbor_metro,neighbor_cluster,distance,neighbor_annual_rent,neighbor_rpp_all_items,neighbor_rpp_housing,neighbor_median_household_income,neighbor_real_household_income,neighbor_mean_real_occ_wage,neighbor_mean_real_income_after_rent,neighbor_mean_rent_burden,neighbor_share_high_lq
11020,"Altoona, PA",2,9,16020,"Cape Girardeau, MO-IL",2,4.091768380402615,10368.0,86.078,56.422,66759.0,77556.40233276795,63408.829935150614,51363.940416342084,0.22389822940887097,0.32857142857142857
11020,"Altoona, PA",2,10,27180,"Jackson, TN",2,4.094924746467025,11964.0,85.522,56.567,61177.0,71533.64046678047,64366.84420383058,50377.461354972984,0.2560485348037776,0.3711340206185567
11100,"Amarillo, TX",2,1,47380,"Waco, TX",4,2.488713044641052,13812.0,92.55,83.531,66205.0,71534.30578065911,63271.5083520552,48347.68339257384,0.28515605049146603,0.2621082621082621
11100,"Amarillo, TX",2,2,31180,"Lubbock, TX",3,2.9623074760401393,13908.0,91.317,76.357,63629.0,69679.24920880012,60446.15502547761,45215.69410363392,0.30262482152632064,0.2794871794871795
11100,"Amarillo, TX",2,3,10180,"Abilene, TX",2,3.19848831254776,13692.0,90.364,73.791,67328.0,74507.54725333097,61015.10519141739,45863.05348941217,0.29480265501265174,0.3494809688581315
11100,"Amarillo, TX",2,4,48660,"Wichita Falls, TX",2,3.315017629329226,11940.0,89.513,68.208,65379.0,73038.55305933216,60039.527016390704,46700.68237929889,0.26803627407771496,0.3374485596707819
11100,"Amarillo, TX",2,5,18580,"Corpus Christi, TX",3,3.3698022889336516,15300.0,92.671,84.905,67453.0,72787.60345739228,62721.401517195234,46211.38220155172,0.3196434298238254,0.3065326633165829
11100,"Amarillo, TX",2,6,17300,"Clarksville, TN-KY",2,3.3989776730035266,14484.0,90.947,73.801,68967.0,75832.07802346422,62072.269197078145,46146.51023856385,0.3053920742170733,0.33663366336633666
11100,"Amarillo, TX",2,7,41660,"San Angelo, TX",2,3.4153657514541216,13860.0,92.453,81.442,68419.0,74004.08856391897,58094.47881147742,43103.07777527525,0.30891388764814864,0.3392070484581498
11100,"Amarillo, TX",2,8,30980,"Longview, TX",2,3.435350392166182,12720.0,89.485,66.749,66647.0,74478.40420182153,61945.59707644817,47730.924226249816,0.2785181405920559,0.3224852071005917
